"record_type"	"stage"	"fixture"	"engine"	"coefficient"	"coefficient_value"	"oracle_direction"	"expected_direction"	"rank_status"	"detector_class"	"expected_class"	"status"	"detail"	"retained_rows"	"design_columns"	"trials_sum"	"positive_weight_sum"	"offset_summary"	"logLik"	"objective"	"convergence"	"optimizer_message"	"max_abs_gradient"	"pdHess"	"warnings"	"error"
"fit"	"binomial_core"	"mu_quasi_grouped"	"glm"	"x"	"23.90239606292588"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	3	2	6	3	"none"	"-0.6931471807264327"	"0.6931471807264327"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_quasi_grouped"	"brglm2_mean_bias_reduction"	"(Intercept)"	"0.0000000000000002349349808784647"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	3	2	6	3	"none"	"-1.274465321537140"	"1.274465321537140"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_quasi_grouped"	"brglm2_mean_bias_reduction"	"x"	"1.855206817423079"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	3	2	6	3	"none"	"-1.274465321537140"	"1.274465321537140"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_quasi_grouped"	"drmTMB_ML"	"(Intercept)"	"-0.00000000000000002213947779702118"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	3	2	6	3	"none"	"-0.6931471807264326"	"0.6931471807264326"	"0"	"relative convergence (4)"	"0.0000000001664873638777607"	"TRUE"	""	
"fit"	"binomial_core"	"mu_quasi_grouped"	"drmTMB_ML"	"x"	"23.90239606309237"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	3	2	6	3	"none"	"-0.6931471807264326"	"0.6931471807264326"	"0"	"relative convergence (4)"	"0.0000000001664873638777607"	"TRUE"	""	
"gate"	"binomial_core"	"rank_deficient_control"	"detectseparation"	"design_rank"	"2"			"rank_deficient"	"not_run"	"rank_deficient"	"PASS"	"rank checked before LP; detector not run"	6	3	6	6	"none"								
"fit"	"binomial_core"	"rank_deficient_control"	"glm"	"(Intercept)"	"0.00000000000000003695079256224137"			"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"rank_deficient_control"	"glm"	"x"	"0.00000000000000002854973161457118"			"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"rank_deficient_control"	"glm"	"twox"				"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"rank_deficient_control"	"brglm2_mean_bias_reduction"	"(Intercept)"	"-0.0000000000000001218320913700167"			"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"rank_deficient_control"	"brglm2_mean_bias_reduction"	"x"	"-0.0000000000000002283634354921809"			"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"rank_deficient_control"	"brglm2_mean_bias_reduction"	"twox"				"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"rank_deficient_control"	"drmTMB_ML"	"(Intercept)"	"0"			"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"0"	"both X-convergence and relative convergence (5)"	"0"	"FALSE"	"NaNs produced"	
"fit"	"binomial_core"	"rank_deficient_control"	"drmTMB_ML"	"x"	"0"			"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"0"	"both X-convergence and relative convergence (5)"	"0"	"FALSE"	"NaNs produced"	
"fit"	"binomial_core"	"rank_deficient_control"	"drmTMB_ML"	"twox"	"0"			"rank_deficient"		"rank_deficient"	"RECORDED"	"objective values include their native binomial constants"	6	3	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"0"	"both X-convergence and relative convergence (5)"	"0"	"FALSE"	"NaNs produced"	
